topic_id,topic_name,top_words
0,Ketakutan Melapor & Intimidasi,"ppks, kampus, seksual, satgas, pelecehan seksual, seksual kampus, pelecehan, satgas ppks, korban, stopkekerasanseksual"
1,Transparansi Sanksi & Akuntabilitas,"dalam proses, dalam, proses, sangat, ppks, padahal korban, tinggi negeri, predator kampus, mengajar padahal, negeri"
2,Victim Blaming & Budaya Toxic,"pelecehan, ppks, pelecehan seksual, seksual, kampus, diproses, kuat, pelaku, korban pelecehan, doang"
3,Dukungan Solidaritas & Gerakan,"ppks, blaming, victim blaming, victim, permendikbud ppks, permendikbud, paling, korban, perlu, kertas"
4,Reformasi Kebijakan & Regulasi,"korban, kampus, teman2, ppks, seksual, terus, pelaku pelecehan, pelecehan seksual, pelecehan, kampus saya"
